year,geography,real_rent,cs_home,real_rent_reindexed,cs_home_reindexed
2019,Dallas,275.145,191.40560943961384,1.6952865064695006,1.8390972745027587
2020,Dallas,286.776,199.5974425413789,1.7669500924214416,1.91780749608271
2021,Dallas,296.715,239.42538678074692,1.8281885397412196,2.3004894034422656
2022,Dallas,NA,NA,NA,NA
1991,Atlanta,NA,69.85805682060543,NA,0.8188177179470423
1992,Atlanta,NA,70.74171753686808,NA,0.8291752498347059
1993,Atlanta,NA,72.884085327303,NA,0.8542862933564567
1994,Atlanta,NA,76.27805290841158,NA,0.8940675428791297
1995,Atlanta,NA,79.14355179758466,NA,0.9276545243670032
1996,Atlanta,NA,82.17019273249716,NA,0.9631302781477633
1997,Atlanta,174.5,85.31576111439684,1,1
1998,Atlanta,179.108,90.25033187640032,1.026406876790831,1.0578389115627405
1999,Atlanta,184.992,96.596400157885,1.0601260744985672,1.1322222165768687
2000,Atlanta,190.975,103.77357004099967,1.0944126074498568,1.2163469994934866
2001,Atlanta,201.333,109.39082070286834,1.1537707736389684,1.282187713899547
2002,Atlanta,207.308,113.52172304515616,1.1880114613180515,1.330606696375116
2003,Atlanta,205.608,117.15192232256842,1.178269340974212,1.3731568562751686
2004,Atlanta,200.158,121.40730023843709,1.1470372492836676,1.423034837322103
2005,Atlanta,200.408,127.60984376904075,1.1484699140401144,1.495735865239874
2006,Atlanta,202.85,133.12198817366092,1.1624641833810887,1.5603446120015554
2007,Atlanta,212.941,134.00414143092226,1.2202922636103153,1.5706844747155326
2008,Atlanta,220.044,122.64377994676816,1.2609971346704871,1.437527818363122
2009,Atlanta,217.305,108.39800632263459,1.245300859598854,1.2705507740508533
2010,Atlanta,211.464,105.7841987123215,1.2118280802292263,1.2399139072378347
2011,Atlanta,205.791,98.39493921777675,1.1793180515759312,1.153303187272074
2012,Atlanta,208.965,90.70475256500117,1.1975071633237822,1.0631652508307161
2013,Atlanta,213.905,107.34742873805293,1.2258166189111748,1.2582367822296587
2014,Atlanta,223.465,117.15807057272067,1.2806017191977077,1.3732289209215123
2015,Atlanta,235.085,123.61386168794067,1.347191977077364,1.4488983052286353
2016,Atlanta,247.81,130.85672367086443,1.4201146131805158,1.533793075999209
2017,Atlanta,262.752,137.97651024483474,1.5057421203438397,1.617245259757186
2018,Atlanta,274.431,146.10278221718292,1.572670487106017,1.712494623605115
2019,Atlanta,289.381,152.53883982820707,1.658343839541547,1.7879327082796956
2020,Atlanta,300.752,160.98091220920784,1.7235071633237824,1.8868836204057808
2021,Atlanta,317.358,187.8109830821471,1.8186704871060173,2.201363272494494
2022,Atlanta,NA,NA,NA,NA
1987,Portland,114.2,41.497519582278834,1,1
1988,Portland,118.9,42.916303303131,1.0411558669001753,1.034189603020467
1989,Portland,124.2,46.238206235168,1.0875656742556918,1.1142402413592363
1990,Portland,131.2,53.78834890629008,1.148861646234676,1.2961822645722647
1991,Portland,140,59.240443883987915,1.2259194395796846,1.4275658998492537
1992,Portland,146.9,62.95471692097292,1.2863397548161122,1.5170718046448541
1993,Portland,152.2,67.75031160154374,1.3327495621716285,1.6326352100927966
1994,Portland,159.3,74.03667528680992,1.39492119089317,1.7841229073948472
1995,Portland,164.2,79.77676779743392,1.4378283712784588,1.9224466570648218
1996,Portland,168.6,86.70565885005658,1.4763572679509631,2.0894178669677284
1997,Portland,176.1,93.039237771113,1.542031523642732,2.2420433487992044
1998,Portland,182.5,95.893166916505,1.5980735551663747,2.310816836326173
1999,Portland,186.6,99.68955309471383,1.6339754816112084,2.4023014892987824
2000,Portland,189.5,102.34741754218051,1.659369527145359,2.46635024388029
2001,Portland,195.2,106.80122205195333,1.7092819614711032,2.57367724931593
2002,Portland,198.4,111.5923057075925,1.7373029772329247,2.6891319488706755
2003,Portland,198.3,118.14791186790858,1.7364273204903677,2.847107804447248
2004,Portland,199.2,128.5288649196035,1.74430823117338,3.0972662032188225
2005,Portland,201.9,149.5651799338086,1.7679509632224168,3.604195658905819
2006,Portland,207,176.028743636868,1.8126094570928195,4.241910008328295
2007,Portland,217.369,183.73438874226017,1.9034063047285463,4.427599302121238
2008,Portland,226.699,171.54173948109258,1.985105078809107,4.133782963605083
2009,Portland,233.069,149.60452858731276,2.0408844133099824,3.605143875905299
2010,Portland,233.369,144.81780361972434,2.0435113835376533,3.4897942112561244
2011,Portland,239.829,134.4765846617506,2.1000788091068303,3.240593317755254
2012,Portland,249.301,136.80771094304583,2.1830210157618213,3.296768392910607
2013,Portland,259.533,153.348376650798,2.272618213660245,3.6953624745389395
2014,Portland,271.707,167.27444646387823,2.3792206654991244,4.030950479635688
2015,Portland,287.081,181.90691351728958,2.513844133099825,4.383561122409143
2016,Portland,308.286,202.83966698019083,2.6995271453590193,4.8879949698683145
2017,Portland,329.938,219.19902207708083,2.8891243432574427,5.282219859971773
2018,Portland,NA,231.37865668262475,NA,5.575722573583243
2019,Portland,NA,237.82363560932768,NA,5.731032553350207
2020,Portland,NA,252.65020877126784,NA,6.088320731322939
2021,Portland,NA,294.5559974853377,NA,7.098159129759778
2022,Portland,NA,NA,NA,NA
1987,Washington DC,NA,69.02003664366033,NA,0.7736703882254216
1988,Washington DC,NA,80.10034055227668,NA,0.897873495663532
1989,Washington DC,NA,90.33411794931766,NA,1.0125875832937432
1990,Washington DC,NA,92.3886983152075,NA,1.0356181127836799
1991,Washington DC,NA,88.69627038934757,NA,0.9942283615489297
1992,Washington DC,NA,88.63269506456867,NA,0.9935157228921698
1993,Washington DC,NA,88.86319667877316,NA,0.9960994983003006
1994,Washington DC,NA,89.75917933173808,NA,1.0061428897656148
1995,Washington DC,NA,88.95522605364641,NA,0.9971310886275259
1996,Washington DC,NA,88.73130577009817,NA,0.9946210857192584
1997,Washington DC,100.325,89.2111649794075,1,1
1998,Washington DC,102.825,91.46623184497625,1.024919013207077,1.0252778546955337
1999,Washington DC,105.967,96.99698014172093,1.0562372290057314,1.087273999438418
2000,Washington DC,109.908,106.41060705754609,1.0955195614253674,1.192794725661398
2001,Washington DC,117.158,120.48230383412943,1.167784699725891,1.3505294305027875
