"","fips","netwp_h"
"965","20159",NA
"966","20161",-0.00818540435284376
"967","20163",NA
"968","20165",NA
"969","20167",NA
"970","20169",NA
"971","20171",NA
"972","20173",-0.0285032466053963
"973","20175",-0.000695403083227575
"974","20177",NA
"975","20179",NA
"976","20181",-0.0256100688129663
"977","20183",NA
"978","20185",NA
"979","20187",NA
"980","20189",NA
"981","20191",-0.0472293980419636
"982","20193",-0.00464252615347505
"983","20195",NA
"984","20197",NA
"985","20199",NA
"986","20201",NA
"987","20203",NA
"988","20205",NA
"989","20207",NA
"990","20209",-0.0594608187675476
"991","21001",NA
"992","21003",NA
"993","21005",-0.0208498295396566
"994","21007",NA
"995","21009",-0.0162322130054235
"996","21011",NA
"997","21013",NA
"998","21015",-0.024498799815774
"999","21017",NA
"1000","21019",-0.03269262611866
"1001","21021",NA
"1002","21023",NA
"1003","21025",NA
"1004","21027",NA
"1005","21029",-0.0101488400250673
"1006","21031",NA
"1007","21033",NA
"1008","21035",NA
"1009","21037",-0.0403271429240704
"1010","21039",NA
"1011","21041",NA
"1012","21043",NA
"1013","21045",NA
"1014","21047",0.0173398219048977
"1015","21049",-0.0347128063440323
"1016","21051",NA
"1017","21053",NA
"1018","21055",NA
"1019","21057",NA
"1020","21059",NA
"1021","21061",NA
"1022","21063",NA
"1023","21065",NA
"1024","21067",-0.0128840291872621
"1025","21069",NA
"1026","21071",NA
"1027","21073",NA
"1028","21075",NA
"1029","21077",NA
"1030","21079",NA
"1031","21081",NA
"1032","21083",0.0196691285818815
"1033","21085",NA
"1034","21087",NA
"1035","21089",NA
"1036","21091",NA
"1037","21093",-0.0117345172911882
"1038","21095",NA
"1039","21097",-0.0479903444647789
"1040","21099",NA
"1041","21101",NA
"1042","21103",NA
"1043","21105",NA
"1044","21107",0.00946413539350033
"1045","21109",NA
"1046","21111",-0.0110977478325367
"1047","21113",-0.0205675922334194
"1048","21115",NA
"1049","21117",-0.0161335449665785
"1050","21119",NA
"1051","21121",NA
"1052","21123",NA
"1053","21125",-0.0189152602106333
"1054","21127",NA
"1055","21129",NA
